rows    | tot_costs   | exec_time(ms)  | exec_time_cs| ncond | role        | av_data   
155     | 2300.29     | 50.814         | 5.3628      | 1     | tfog_acoast_u|   12304975
? SET ROLE tfog_abells_u;
2       | 2108.74     | 30.129         | 3.316       | 2     | tfog_abells_u|   13995064
22      | 2108.74     | 28.924         | 3.2002      | 2     | tfog_abells_u|   13995064
0       | 2108.74     | 32.722         | 3.5805      | 2     | tfog_abells_u|   13995064
? SET ROLE postgres;
? SET ROLE tfog_acoast_u;
0       | 2301.98     | 33.305         | 3.6314      | 2     | tfog_acoast_u|   12304975
0       | 2301.98     | 35.241         | 3.8232      | 2     | tfog_acoast_u|   12304975
1       | 2301.98     | 41.045         | 4.4106      | 2     | tfog_acoast_u|   12304975
? SET ROLE tfog_abells_u;
3       | 2110.48     | 33.025         | 3.6032      | 3     | tfog_abells_u|   13995064
0       | 2110.48     | 27.703         | 3.0723      | 3     | tfog_abells_u|   13995064
6       | 2110.48     | 40.157         | 4.3152      | 3     | tfog_abells_u|   13995064
? SET ROLE postgres;
? SET ROLE tfog_acoast_u;
0       | 2304.06     | 40.067         | 4.3242      | 3     | tfog_acoast_u|   12304975
9       | 2304.06     | 50.223         | 5.3395      | 3     | tfog_acoast_u|   12304975
? SET ROLE tfog_abells_u;
0       | 2112.28     | 30.367         | 3.3505      | 4     | tfog_abells_u|   13995064
1       | 2112.28     | 29.722         | 3.2862      | 4     | tfog_abells_u|   13995064
0       | 2112.28     | 36.408         | 3.9313      | 4     | tfog_abells_u|   13995064
? SET ROLE postgres;
? SET ROLE tfog_acoast_u;
0       | 2306.18     | 35.572         | 4.0026      | 4     | tfog_acoast_u|   12304975
0       | 2306.18     | 38.818         | 4.2521      | 4     | tfog_acoast_u|   12304975
0       | 2306.18     | 41.499         | 4.4457      | 4     | tfog_acoast_u|   12304975
? SET ROLE tfog_abells_u;
1       | 2114.09     | 34.533         | 3.7505      | 5     | tfog_abells_u|   13995064
0       | 2114.09     | 28.668         | 3.1656      | 5     | tfog_abells_u|   13995064
0       | 2114.09     | 41.568         | 4.4477      | 5     | tfog_abells_u|   13995064
? SET ROLE postgres;
? SET ROLE tfog_acoast_u;
0       | 2308.33     | 40.511         | 4.3516      | 5     | tfog_acoast_u|   12304975
0       | 2308.33     | 49.983         | 5.3036      | 5     | tfog_acoast_u|   12304975
? SET ROLE tfog_abells_u;
11      | 2107.38     | 31.237         | 3.4204      | 0     | tfog_abells_u|   13995064
700     | 2107.38     | 29.703         | 3.2538      | 0     | tfog_abells_u|   13995064
2       | 2107.38     | 33.236         | 3.6094      | 0     | tfog_abells_u|   13995064
? SET ROLE postgres;
? SET ROLE tfog_acoast_u;
5       | 2300.38     | 34.411         | 3.7316      | 0     | tfog_acoast_u|   12304975
19      | 2300.38     | 36.376         | 3.9228      | 0     | tfog_acoast_u|   12304975
15      | 2300.38     | 41.637         | 4.4468      | 0     | tfog_acoast_u|   12304975
? SET ROLE tfog_abells_u;
103     | 2107.3      | 33.594         | 3.6454      | 1     | tfog_abells_u|   13995064
11      | 2107.3      | 28.466         | 3.1386      | 1     | tfog_abells_u|   13995064
24      | 2107.3      | 40.385         | 4.3558      | 1     | tfog_abells_u|   13995064
? SET ROLE postgres;
? SET ROLE tfog_acoast_u;
5       | 2300.29     | 40.466         | 4.3352      | 1     | tfog_acoast_u|   12304975
