rows    | tot_costs   | exec_time(ms)  | exec_time_cs| plan_time   | ncond   | size  | stmt
----------------------------------------------------------------------------
? SET ROLE tfog_abells_cbudget_sdraft_u;
? SET ROLE postgres;
? SET ROLE tfog_acoast_cbudget_sdraft_u;
? SET ROLE postgres;
? SET ROLE tfog_acoast_cstatistics_stask_u;
1       | 0.26        | 79.125         | 8.1326      | 0.044       | 1     | 96325 |  WHERE udim1 LIKE 'public' AND bstream is not Null;
? SET ROLE postgres;
? SET ROLE tfog_abells_cbudget_sdraft_u;
? SET ROLE postgres;
? SET ROLE tfog_acoast_cbudget_sdraft_u;
? SET ROLE postgres;
? SET ROLE tfog_acoast_cstatistics_stask_u;
1       | 0.26        | 75.352         | 7.7331      | 0.039       | 1     | 96325 |  WHERE udim1 LIKE 'public' AND bstream is not Null;
? SET ROLE postgres;
? SET ROLE tfog_abells_cbudget_sdraft_u;
? SET ROLE postgres;
? SET ROLE tfog_acoast_cbudget_sdraft_u;
? SET ROLE postgres;
? SET ROLE tfog_acoast_cstatistics_stask_u;
1       | 0.26        | 9.255          | 0.9952      | 0.038       | 0     | 293376|  WHERE bstream is not Null;
1       | 0.26        | 10.435         | 1.1589      | 0.037       | 0     | 293376|  WHERE bstream is not Null;
1       | 0.26        | 7.987          | 0.8597      | 0.044       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.826          | 0.7429      | 0.038       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.848          | 0.7439      | 0.039       | 0     | 35328 |  WHERE bstream is not Null;
? SET ROLE postgres;
? SET ROLE tfog_acoast_cbudget_sdraft_u;
? SET ROLE postgres;
? SET ROLE tfog_acoast_cstatistics_stask_u;
1       | 0.26        | 14.539         | 1.5148      | 0.038       | 1     | 96325 |  WHERE udim1 LIKE 'public' AND bstream is not Null;
1       | 0.26        | 7.025          | 0.76        | 0.039       | 1     | 96325 |  WHERE udim1 LIKE 'public' AND bstream is not Null;
? SET ROLE postgres;
? SET ROLE tfog_abells_cbudget_sdraft_u;
1       | 0.26        | 13.661         | 1.4268      | 0.039       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 6.585          | 0.7182      | 0.037       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 8.001          | 0.8603      | 0.039       | 0     | 293376|  WHERE bstream is not Null;
1       | 0.26        | 8.037          | 0.8634      | 0.038       | 0     | 293376|  WHERE bstream is not Null;
1       | 0.26        | 6.579          | 0.717       | 0.038       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.456          | 0.7047      | 0.038       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 7.282          | 0.7802      | 0.037       | 0     | 35328 |  WHERE bstream is not Null;
? SET ROLE postgres;
? SET ROLE tfog_acoast_cbudget_sdraft_u;
? SET ROLE postgres;
? SET ROLE tfog_acoast_cstatistics_stask_u;
1       | 0.26        | 13.526         | 1.4133      | 0.039       | 1     | 96325 |  WHERE udim1 LIKE 'public' AND bstream is not Null;
1       | 0.26        | 6.654          | 0.7247      | 0.038       | 1     | 96325 |  WHERE udim1 LIKE 'public' AND bstream is not Null;
? SET ROLE postgres;
? SET ROLE tfog_abells_cbudget_sdraft_u;
1       | 0.26        | 13.432         | 1.4039      | 0.042       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 6.471          | 0.7069      | 0.038       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 7.827          | 0.8571      | 0.04        | 0     | 293376|  WHERE bstream is not Null;
1       | 0.26        | 7.791          | 0.838       | 0.04        | 0     | 293376|  WHERE bstream is not Null;
1       | 0.26        | 6.371          | 0.6986      | 0.037       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.394          | 0.6986      | 0.039       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.401          | 0.6994      | 0.038       | 0     | 35328 |  WHERE bstream is not Null;
? SET ROLE postgres;
? SET ROLE tfog_acoast_cbudget_sdraft_u;
? SET ROLE postgres;
? SET ROLE tfog_acoast_cstatistics_stask_u;
1       | 0.26        | 13.397         | 1.4122      | 0.041       | 1     | 96325 |  WHERE udim1 LIKE 'public' AND bstream is not Null;
1       | 0.26        | 8.821          | 0.9436      | 0.038       | 1     | 96325 |  WHERE udim1 LIKE 'public' AND bstream is not Null;
? SET ROLE postgres;
? SET ROLE tfog_abells_cbudget_sdraft_u;
1       | 0.26        | 13.372         | 1.4007      | 0.041       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 6.552          | 0.7146      | 0.038       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 7.875          | 0.8467      | 0.038       | 0     | 293376|  WHERE bstream is not Null;
1       | 0.26        | 7.896          | 0.8485      | 0.038       | 0     | 293376|  WHERE bstream is not Null;
1       | 0.26        | 6.386          | 0.6997      | 0.039       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.517          | 0.7133      | 0.039       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.46           | 0.7051      | 0.038       | 0     | 35328 |  WHERE bstream is not Null;
? SET ROLE postgres;
? SET ROLE tfog_acoast_cbudget_sdraft_u;
? SET ROLE postgres;
? SET ROLE tfog_acoast_cstatistics_stask_u;
1       | 0.26        | 13.429         | 1.4034      | 0.04        | 1     | 96325 |  WHERE udim1 LIKE 'public' AND bstream is not Null;
1       | 0.26        | 6.546          | 0.7139      | 0.038       | 1     | 96325 |  WHERE udim1 LIKE 'public' AND bstream is not Null;
? SET ROLE postgres;
? SET ROLE tfog_abells_cbudget_sdraft_u;
1       | 0.26        | 13.484         | 1.4058      | 0.039       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 6.796          | 0.7397      | 0.039       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 8.085          | 0.8717      | 0.082       | 0     | 293376|  WHERE bstream is not Null;
1       | 0.26        | 7.888          | 0.8477      | 0.039       | 0     | 293376|  WHERE bstream is not Null;
1       | 0.26        | 6.507          | 0.7097      | 0.038       | 0     | 35328 |  WHERE bstream is not Null;
